airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,ABE,1015,-47.0,575.0,0.67,1.38,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,ABY,38,-32.0,321.0,4.37,0.0,"['3', '12', '1', '2', '11']"
9E,AEX,877,-34.0,979.0,9.61,1.03,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,AGS,1602,-36.0,1091.0,6.97,2.06,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,ALB,1088,-51.0,394.0,-4.39,1.93,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,ATL,26798,-43.0,1207.0,2.46,1.09,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,ATW,175,-34.0,420.0,9.39,0.0,"['1', '5', '8', '4', '9', '7', '10', '6']"
9E,AUS,379,-35.0,1225.0,14.15,0.53,"['3', '1', '2', '5', '11', '4', '7', '6']"
9E,AVL,672,-43.0,949.0,1.92,2.08,"['3', '12', '1', '2', '5', '8', '11', '4', '9', '10', '7', '6']"
9E,AZO,14,-22.0,71.0,-2.93,0.0,['1']
