carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|80|-44.0|438.0|14.45|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|2|75|-42.0|113.0|-12.05|0.0133|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|3|88|-47.0|309.0|-11.92|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|4|86|-44.0|438.0|-1.01|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|5|88|-39.0|182.0|0.98|0.0114|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|6|89|-29.0|169.0|0.18|0.0112|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|7|86|-33.0|245.0|9.63|0.0349|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|8|85|-31.0|348.0|-2.46|0.0235|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|9|81|-33.0|144.0|-9.06|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|10|82|-34.0|575.0|-0.13|0.0|1,2,3,4,5,6,7,8,9,10,11,12
