origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
BZN|7|medium|21|34.43|29.86|carrier|late_aircraft|nas
BZN|7|low|79|-3.96|-8.29|carrier|late_aircraft|nas
BZN|7|high|9|236.67|234.11|carrier|late_aircraft|nas
CLT|12|medium|297|29.91|23.32|weather|late_aircraft|carrier
CLT|12|low|1324|-1.4|-5.95|weather|late_aircraft|carrier
CLT|12|high|144|131.22|125.78|weather|late_aircraft|carrier
BWI|11|medium|113|27.35|16.49|carrier|late_aircraft|nas
BWI|11|low|663|-1.48|-11.73|carrier|late_aircraft|nas
BWI|11|high|33|107.61|99.85|carrier|late_aircraft|nas
SMF|2|medium|34|32.35|26.47|security|late_aircraft|carrier
